state_id,state_ko,definition,primary_notice_link
field_normal,일반 필드 개체,문명권 주변 자연·폐허·야외에 출현하는 일반 개체,몬스터 사냥
settlement_edge,생활권 접근 개체,마을·농경지·교역로 가까이 접근한 개체,몬스터 사냥
leader_individual,우두머리 개체,소규모 무리나 둥지의 중심 개체,몬스터 사냥
alpha_individual,알파 개체,동종 또는 유사 생태권을 지배하는 강한 개체,몬스터 사냥
pack_commander,무리 지휘 개체,하위 개체의 행동을 조직적으로 바꾸는 개체,몬스터 사냥
nest_guard,둥지 방어 개체,알·새끼·보금자리를 방어하는 개체,몬스터 사냥
territory_ruler,포식권 지배 개체,지역 먹이사슬의 중심을 차지한 개체,몬스터 사냥
resonance_stage_1,잔향 1단계 영향 개체,신체 강화와 통각 둔화 등 초기 증폭 징후를 보이는 개체,잔향 변이 사냥
resonance_stage_2,잔향 2단계 변이 개체,안개 형성·외형 변이·빛 취약 등 중기 증상을 보이는 개체,잔향 변이 사냥
resonance_stage_3_suspect,잔향 3단계 의심 개체,빛 저항·범접 불가의 증대·던전화 가능성을 보이는 개체,가디언화 전조 차단
guardianization_omen,가디언화 전조 개체,공간 고착·중심 개체화·핵 반응 유사 징후를 보이는 개체,가디언화 전조 차단
living_dungeon_source,살아있는 던전 근원,완전한 던전화 전 이동성과 잔향 분출을 보이는 과도기 근원,던전 발생 대응
dungeon_inner,던전 내부 개체,던전 경계 안에서만 활동하는 내부 몬스터,던전 사냥
dungeon_ecology,던전 생태 개체,던전 내부 생태·재출현·포식 구조의 일부가 된 개체,던전 생태 추적
dungeon_guardian_bound,던전 가디언 결속 개체,던전 가디언의 영향권 아래 행동이 달라진 하위 개체,던전 가디언 약점 관측
dungeon_guardian,던전 가디언,던전 핵과 결속된 수호자,던전 가디언 제압전
angra_fog_creature,안개권 비던전 생물,앙그라 안개 내부에서 활동하지만 던전 개체는 아닌 생물,앙그라권 레이드·사냥
angra_predator,안개권 포식 개체,원정대를 먹이 또는 침입자로 감지하는 안개권 포식자,안개권 위협 개체 제압
angra_sample_value,안개권 표본 가치 개체,외피·체액·기관 등 생태 표본 가치가 높은 개체,안개권 변이 생태 표본 확보
angra_trailer,안개권 추적 개체,원정대·시료·소리·냄새를 따라붙는 개체,안개권 추적 개체 차단
angra_rear_threat,안개권 후위 위협 개체,철수 중 원정대 후방을 압박하는 개체,안개권 긴급 후위 사냥
nail_reaction,앙그라의 못 주변 반응 개체,앙그라의 못 주변에서 행동이나 공격성이 강화되는 개체,토템 가디언 레이드
totem_servitor,토템 가디언 수하 개체,토템 가디언 또는 못의 수호 반응에 종속된 개체,토템 가디언 레이드
totem_guardian,토템 가디언,앙그라의 못을 수호하는 레이드급 수호체,토템 가디언 레이드
blackstone_ingested,흑마석 섭취 개체,흑마석을 삼켰거나 체내에 보유한 개체,흑마석 섭취 개체 포획
blackstone_crystallized,흑마석 결정화 개체,흑마석성 결정이 체표나 장기에서 자라는 개체,정제·자원 공고
refining_failure_affected,정제 실패 영향 개체,정제 실패품·불완전 정화물 영향으로 변질된 개체,정제 안정성 검증
rune_marked,잔향의 룬 각인 개체,피부·장비·흉터 등에 잔향 룬이 나타난 개체,룬 각인 개체 조사
quasi_dungeon_zone_creature,준던전화 구역 개체,완전한 던전은 아니나 공간 이상 구역 안에서 변질된 개체,준던전화 구역 봉쇄
fear_reactive,공포 반응 유발 개체,공포·불안·정신 동요에 반응하거나 이를 유발하는 개체,검은 광기 조사
indoctrinated_victim,포섭 피해 개체,세뇌·협박·잔향 노출로 위험 행동을 하는 피해자성 개체,포섭 피해자 구출
ritual_medium,의식 매개 개체,금기 의식의 그릇·제물·증폭기로 쓰이는 개체,금기 의식 저지
record_value,기록 가치 개체,전투보다 관측·접촉·기록 가치가 높은 개체,기록·검증 공고
recovery_forbidden,회수 금지 개체,사체·부산물 회수가 오염 확산을 일으킬 수 있는 개체,봉인·정화 보조
civilian_disguised,민간인 위장 개체,일반 민간인으로 보이나 위험 징후가 있는 개체,소문·괴담 검증
infiltration_suspect,침투 의심 개체,조직 내부에 숨어 기록·물자·소문을 조작하는 개체,침투자 식별
transport_lure,운송물 반응 개체,시료·핵·흑마석·장비 운송에 반응해 접근하는 개체,위험 운송
sanctuary_bound,성역 결속 개체,성역·봉인·정화 지점의 조건에 묶인 개체,봉인·정화 보조
portal_reactive,포탈 반응 개체,포탈·전이 장치·공간 왜곡에 반응하는 개체,포탈·공간 왜곡 조사
resource_bearing,자원 보유 개체,유용 부산물·독샘·결정·외피를 지닌 개체,몬스터 부산물 회수
plague_bearer,질병 매개 개체,질병·기생충·오염을 확산할 가능성이 높은 개체,민생·구조/사냥꾼
escaped_experiment,실험 이탈 개체,실험실·정제소·금기 연구 현장에서 이탈한 개체,금기 정제·금지 지식 차단
controlled_asset,통제 자산화 개체,지역 세력이 위험을 은폐하고 수익원으로 삼는 개체,통제 던전 감사/중립
unknown_classification,분류 보류 개체,대분류와 상태 판정이 아직 확정되지 않은 개체,보고서 재검증
