origin_id,origin_ko,definition,notice_route_hint
field,필드,문명권 주변 야외·숲·산·수로·폐허 등 자연/인접 지역에서 출현,몬스터 사냥
settlement_edge,생활권 인접,마을·농경지·교역로·외곽 방책 등 생활권에 접근,몬스터 사냥
ruin,폐허·유적,오래된 유적·폐허·성소·묘역에 결부되어 출현,기록·검증/유적
dungeon_inner,던전 내부,던전 경계 안에서만 활동,던전 사냥
dungeon_guardian,던전 가디언,던전 핵과 결속된 수호자,던전 가디언 제압전
living_dungeon,살아있는 던전,완전한 던전화 전의 이동성 근원 또는 과도기 현상,던전 발생 대응
angra_fog,앙그라 안개권,문명권 밖 안개 내부의 비던전 생물 위협,앙그라권 레이드·사냥
totem_nail,앙그라의 못,앙그라의 못 주변 또는 수호 반응과 연결,토템 가디언 레이드
totem_guardian,토템 가디언,앙그라의 못을 수호하는 레이드급 수호체,토템 가디언 레이드
resonance_zone,잔향 지역,안개가 걷힌 뒤 또는 던전 영향권에 남은 잔향 지역,잔향·침식/잔향 변이 사냥
blackstone_site,흑마석 지점,흑마석 광맥·원석·정제 실패품과 연결,정제·자원
refinery,정제 시설,정제소·실험소·봉인소·관측 시설에서 발생,정제·시설
portal_space,포탈·공간 왜곡,포탈·전이·반복 길·내부 확장 구조와 연결,포탈·공간 왜곡
cult_site,금기 의식지,오염 성소·의식장·흑암 결사 흔적과 연결,기밀/금기 의식
conflict_zone,분쟁지,전장·국경·상단 분쟁지에서 미지 요소와 함께 출현,분쟁·중립
