social_id,social_ko,definition,notice_note
solitary,단독,혼자 사냥하거나 영역을 유지한다,한 개체 중심 추적
pair,쌍,두 개체가 짝을 이루어 행동한다,한쪽을 잡으면 다른 쪽 반응
small_pack,소규모 무리,3~8마리 전후의 무리 행동,알파 확인 필요
large_pack,대규모 무리,다수 개체가 이동하거나 공격한다,분산·유인 필요
swarm,군집,개별 개체보다 덩어리로 위협이 된다,광역 대응
nest,둥지,둥지·알·새끼를 중심으로 행동한다,둥지 처리 판단
colony,군락,넓은 서식지 전체가 하나의 집단처럼 작동한다,장기 정리 공고
hierarchy,위계,우두머리와 하위 개체의 질서가 있다,지휘 개체 제거
cultic,의식 집단,신앙·의식·공포로 결속된 집단,기밀 분류 가능
controlled,피지배 집단,가디언·마법사·정신지배자에 의해 조종된다,근원 추적
hive_mind,군체 의식,거리와 상관없이 하나의 의식처럼 움직인다,개별 제압 효율 낮음
temporary_gathering,임시 집결,먹이·시료·의식·환경 변화에 일시적으로 모인다,원인 제거 가능
